Atlético-MG | GloboEsporte.com,https://globoesporte.globo.com/futebol/times/atletico-mg/,"Atlético-MG | GloboEsporte.com, atletico mineiro, atletico"
Chegada de reforços e retorno de Otero: Atlético vai estourar limite de estrangeiros,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/06/20/noticia_atletico_mg,833963/com-reforcos-atletico-vai-estourar-limite-de-estrangeiros.shtml",terans otero martinez cazares hernandez chara estrangeiros seriea interiormg galo atletico mineiro
"No Mineirão para ver Messi, Rodrigo Santana despista sobre utilização de Ramón Martínez no time do Atlético","https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/06/19/noticia_atletico_mg,836173/rodrigo-santana-despista-sobre-utilizacao-de-ramon-martinez.shtml",mercadobola seriea copaamerica atleticomg interiormg
Galo terá overdose de clássicos contra o Cruzeiro em julho e agosto,https://www.lance.com.br/atletico-mineiro/galo-tera-overdose-classicos-contra-cruzeiro-julho-agosto.html,"Brasileiro, Galo, 2019, Atletico"
Elenco Clube Altético Mineiro,https://atletico.com.br/elenco,Atletico Jogadores elenco
"Alguns erros foram por falta de conhecimento, diz Djian sobre denúncias",https://www.otempo.com.br/superfc/cruzeiro/alguns-erros-foram-por-falta-de-conhecimento-diz-djian-sobre-den%C3%BAncias-1.2198804,"Marcelo Djian, Cruzeiro, Mano Menezes, Polemica"
Esposa de Presidente invade sala do Conselho do Cruzeiro e é acusada de levar documentos,https://www.espn.com.br/futebol/time/_/id/2022/cruzeiro,"cruzeiro, soccer, soccer, scores, news, schedule, highlights"
Direção do Cruzeiro garante Mano Menezes no cargo,"https://www.terra.com.br/esportes/lance/direcao-do-cruzeiro-garante-mano-menezes-no-cargo,876e5cd91f5024d4614b46105bf9669dytbr1t2i.html",cruzeiro tecnico mano menezes
"Em crise financeira, Cruzeiro vende Murilo por 60% do valor de oferta recusada em 2017","https://www.mg.superesportes.com.br/app/noticias/futebol/cruzeiro/2019/06/20/noticia_cruzeiro,845504/cruzeiro-vende-murilo-por-60-do-valor-de-oferta-recusada-em-2017.shtml",cruzeiro mercadobola interiormg seriea
CBF define datas dos duelos entre Atlético e Cruzeiro pela Copa do Brasil,"https://www.mg.superesportes.com.br/app/noticias/futebol/interior/2019/06/19/noticia_interior,831349/copa-do-brasil-cbf-define-datas-dos-duelos-entre-atletico-e-cruzeiro.shtml",copa do brasil copadobrasil cruzeiroec atleticomg cruzeiro interiormg galo atletico
Treinos e reflexões estão na pauta do América-MG para reagir na Série B,https://www.lance.com.br/america-mineiro/treinos-reflexoes-estao-pauta-america-para-reagir-serie.html,"Jonatas, Belusso, Coelho, america, MG"
Michel Bastos é liberado para jogar e aprimora parte física no América-MG,https://www.lance.com.br/america-mineiro/michel-bastos-liberado-para-jogar-aprimora-parte-fisica-america.html,"Bastos, Coelho, Michel, america, 2019"
Torcedores do América-MG fazem protesto pelo mau início na Série B,https://www.lance.com.br/america-mineiro/torcedores-america-faz-protesto-pelo-mau-inicio-serie.html,"Coelho, america, protesto, Am, MG"
"Thiago, goleiro do Fla, é emprestado ao América-MG",https://www.lance.com.br/america-mineiro/thiago-goleiro-fla-emprestado-america.html,"Flamengo, Coelho, Thiago, america, MG"
Diretor de futebol do América promete ao menos dois reforços para sequência da Série B,"https://www.mg.superesportes.com.br/app/noticias/futebol/america-mg/2019/06/08/noticia_america_mg,645587/diretor-do-america-promete-ao-menos-dois-reforcos-para-a-serie-b.shtml",paulo bracks americamg serieb interiormg
